epoch,train_loss,train_acc,test_loss,test_acc
1,0.6309455556816129,0.633029870938899,0.5461916376749675,0.729000002861023
2,0.5607327013389388,0.7109701720244849,0.5274857951800028,0.7430000166893005
3,0.5475302867675895,0.7234328569298359,0.5261599246660869,0.7500000047683716
4,0.5398890901519291,0.7297164399232438,0.5256993538538615,0.741333347638448
5,0.534992789366352,0.7345373355168016,0.5165747963587443,0.7483333498636882
6,0.5294581344074277,0.7389552446977417,0.5124376031557719,0.756333354473114
7,0.5261104577245997,0.7389701699392119,0.5131789541244507,0.7550000093777974
8,0.5228783706017395,0.7425074846424273,0.516771537621816,0.7513333546320597
9,0.5205077542422423,0.7443880807570558,0.5111835061709086,0.7540000046094258
10,0.5174522224807028,0.7487612155195492,0.5122771043777465,0.7590000093777974
11,0.5167977982190118,0.7481791252378207,0.5114553926785786,0.7536666855812073
12,0.5133810893902138,0.7499253948873549,0.5084287432034811,0.7566666784286499
13,0.512520408336796,0.7508806180171113,0.5129990951220195,0.7523333474795023
14,0.510105209329235,0.7519253939550314,0.5113967091242473,0.7543333498636882
15,0.5093825704677781,0.7521044985963338,0.5082682410875956,0.7540000093777974
16,0.5078351434647147,0.7533731562771014,0.5098362085024516,0.7586666830380757
17,0.5055902170725722,0.754611962030183,0.5138535358111064,0.7563333498636882
18,0.5049541549896126,0.7548059919200727,0.5135776050885519,0.7530000189145406
19,0.503063416845763,0.7554925577498194,0.510127952893575,0.7576666808128357
20,0.5022207140993716,0.7581044999022982,0.5067039597829183,0.7560000165303549
21,0.5003670165058393,0.7587910648708913,0.5089763029416402,0.7576666784286499
22,0.4992653540319471,0.7584030066532875,0.508948746363322,0.7570000212987263
23,0.49779803358440966,0.7589850949564977,0.506023237546285,0.7586666784286499
24,0.497289490786951,0.7608358425346773,0.5094862586657206,0.7566666808128357
25,0.4958700793269855,0.7610298727056873,0.5063474185466766,0.7580000069936117
26,0.49480737820134235,0.7614328571611376,0.5102614685694377,0.7533333474795023
27,0.4939948577329294,0.7619850967143899,0.5074480125109355,0.7526666714350383
28,0.49334371015385015,0.76228360402762,0.5063483295440674,0.7560000117619833
29,0.49243695714046704,0.7636418114242269,0.5091791834831237,0.7523333522478739
30,0.49065612802576664,0.7646418126554632,0.5111268342336018,0.7553333546320598
31,0.4892145968657821,0.764895543553936,0.5103175783157349,0.7533333452542623
32,0.4879771766146617,0.7661194239374417,0.5090751857757568,0.7546666714350383
33,0.4877460412783409,0.7655671859712743,0.5080451710224152,0.7580000117619833
